mlu	estado	revisado_antes	titulo	autor
MLU634601387	encargo	no	Star Wars El Libro De Los Sith Daniel Wallace	Daniel Wallace
MLU634633139	encargo	no	La Era Del Capitalismo De La Vigilancia Shoshana Zuboff	SHOSHANA ZUBOFF
MLU634633141	encargo	no	El Héroe Interior Carol S. Pearson Arquetipo	Pearson, Carol S.
MLU634684513	disponible	si	Déjalo Ir - John Purkiss	John Purkiss
MLU634684515	encargo	no	El Derecho A La Sexualidad Masculina Frank Suarez	Frank Suarez
MLU634743383	encargo	no	1001 Días Que Cambiaron El Mundo Peter Furtado	Peter Furtado
MLU634753139	encargo	no	Reglas Y Características Todos Los Deportes Silvia Ferretti	Ferretti Paolo
MLU634756357	disponible	si	Pequeño Gran Libro Cancer La Torre, Jimena	Jimena La Torre
MLU634756359	encargo	no	La Alquimia Explicada Sobre Sus Textos Clásicos	Eugène Canseliet
MLU634756433	encargo	no	Gramática De Uso Del Español Luis Aragonés Fernández	Luis Aragonés Fernández
MLU634767381	encargo	no	Siempre Tengo Hambre - S Ludwig,david	S. Ludwig, David
MLU634779333	encargo	no	Terapia Gestalt Sánchez Gavete Franciscoterapia Guia Trabajo	Francisco Sánchez Gavete
MLU634804731	encargo	no	La Crónica De Akakor, Karl Brugger (indigenas Precolombinos)	Karl Brugger
MLU634830726	encargo	no	La Lunología En Acción, Yasmine Boland	YASMINE BOLAND
MLU634833710	encargo	no	Descartes Tomo I - Grandes Pensadores - Gredos	Descartes
MLU634845176	encargo	no	Elon Musk. El Empresario Que Anticipa El Futuro - Ashlee Van	Ashlee Vance
MLU634883329	encargo	no	Curame Lorena Pronsky	Lorena Pronsky
MLU634982421	encargo	no	Cleopatra En El Espacio 2: El Ladrón Y La Espada	Maihack, Mike
MLU634998145	encargo	no	Como Analizar Los Estados Contables Otorgamiento De Creditos	Hugo Luis Sasso
MLU635021549	encargo	no	El Hombre Que Calculaba Tahan Malva Matematicas	Tahan, Malba
MLU635023995	disponible	si	Regreso Al Eden Jethro Kloss	Jethro Kloss
MLU635032523	disponible	si	Metodologia De La Investigacion Bundle Edicion 2023	Hernandez
MLU635055796	encargo	no	Look 2a Combo Split / National Geographic	National Geographic
MLU635070461	encargo	no	Fleabag: The Scriptures Guines Serie Britanica	Phoebe Waller-Bridge
MLU635074455	disponible	si	Los Secretos De Las Plantas David Burnie	Burnie, David
MLU635109401	encargo	no	Avion D Combate Lockheed Martin F-35 Lightning Ii, Us Navy	Salvat
MLU635135433	encargo	no	Fascículo 10 + Mig-29 Fulcrum Aviones De Combate Nº 10	Salvat
MLU635227451	encargo	no	Cartas De Oraciones Marta Salvat	Salvat
MLU635246399	encargo	no	Elige Tu Propia Aventura R.a. Montgomery	Montgomery, R. A.
MLU635269597	disponible	si	Un Paso Adelante En Defensa De Los Animales Oscar Horta	Horta Alvarez, Oscar
MLU635274113	encargo	no	Cartas Del Árbol Transgeneracional	Marta Salvat Balaguer
MLU635286284	disponible	si	Gestionar  Diversidades  Aulas, Instituciones Y Territorios	Sanchez, Sandra
MLU635286927	encargo	no	Por Que Los Hombres No Escuchan Y Las Mujeres No...	Pease, Allan
MLU635325551	encargo	no	Outlet : La Alquimia Explicada Sobre Sus Textos Clasicos	Canseliet Eugene
MLU635325577	encargo	no	Buenas Noches Luna!, De Margaret Wise Brown. Editorial Corimbo En Español	Margaret Wise Brown
MLU635334405	encargo	no	Aviones De Combate Salvat N° 40 A-7e Corsair Ii Eeuu Blanco	
MLU635345383	encargo	no	La Fatal Ignorancia : La Anorexia Cultural Kaiser Axel	Axel Kaiser
MLU635358421	encargo	no	El Viajero Sagrado Denise Linn	Linn, Denise
MLU635383955	disponible	si	Joaquin   El Chapo   Guzman Andrés López López	Andrés López López
MLU635384113	encargo	no	Paraisos Fiscales E Infiernos Tributarios Litwak Martin	LITWAK, MARTIN A.
MLU635397129	encargo	no	Tegui  Martitegui, German	Germán Martitegui
MLU635397609	encargo	no	Make Time: How To Focus On What Matters Every	Jake Knapp and John Zeratsky
MLU635397615	disponible	si	Construyendo Identidad Corporal Alicia Grasso	Grasso y Erramouspe
MLU635422837	encargo	no	Indio Solari Recuerdos Que Mienten Un Poco Redonditos	Indio Solari
MLU635435565	encargo	no	El Universo Elegante Brian Greene	Greene, Brian
MLU635435677	disponible	si	Hasta Que Deje De Doler Mar Petryk	Mar Petryk
MLU635448789	encargo	no	La Revolución De La Glucosa Jessie Inchauspé	Jessie Inchauspé
MLU635454743	encargo	no	Simpson Comics - Confidencial	Matt Groening
MLU635456581	encargo	no	Yo Soy Pusheen Claire Belton	Claire Belton
MLU635469649	disponible	si	El Enigma Garabandal Francisco Renedo Carrandi	Francisco Renedo Carrandi
MLU635534285	encargo	no	Serenidad Agenda Paulo Coelho 2024	Paulo Coelho
MLU635534393	encargo	no	El Negocio Del Crimen Marcelo Bergman	Marcelo Bergman
MLU635554125	disponible	si	Por Dónde Se Sale?, De González, Anabel., Vol. 0. Editorial Planeta, Tapa Blanda En Español, 2023	Gonzalez, Anabel
MLU635554127	encargo	no	Primavera Silenciosa, De Rachel Carson. Editorial Crítica, Tapa Blanda En Español	Rachel Carson
MLU635562367	disponible	si	Pack Bad Ash 1 Nav 22 Alina Not	Alina Not
MLU635567097	encargo	no	Libro Postales Studio Ghibli [ 100 Collectible Postcar ] Box	Ghibli
MLU635604441	encargo	no	¿ A Quién Mata El Asesino ? Silvia Tendlarz	TENDLARZ SILVIA ELENA / GARCIA CARLOS DA
MLU635604461	disponible	si	Democracia, Hora Cero : Actores, Políticas Y Debates	Claudia Feld / Marina Franco
MLU635616184	disponible	si	La Emoción De Educar - Manual Práctico Para Familias	Gonzalez Gonzalo
MLU635630343	encargo	no	Deja De Pensar Demasiado Nick Trenton	Nick Trenton
MLU635665478	encargo	no	Mujer Desnuda, La - Somers Armonia	Armonía Somers
MLU635723820	encargo	no	Las Enseñanzas Del Caballero De La Armadura Oxidada	Velasco, Carlos
MLU635734940	encargo	no	Sprint - El Método Para Resolver Problemas Y Testear - Knapp	Jake Knapp
MLU635735214	encargo	no	Nazis En La Costa Del Sol José Manuel Portero	José Manuel Portero
MLU635766220	encargo	no	Mrs. Dalloway (wordsworth Classics)	Woolf, Virginia
MLU635768553	encargo	no	No Le Muestres A Nadie Este Libro	Lena Strauch
MLU635768579	disponible	si	Mariposa Obsidiana De Juan Bolea	Bolea, Juan
MLU635781842	encargo	no	La Ganaderia Paralela .bases Para Una Ruralidad Avanza	Juan Dutra & Bruno Vasquetto
MLU635782158	encargo	no	Roba Como Un Artista El Diario - Austin Kleon	Austin Kleon
MLU635782386	encargo	no	Un Ambiente Alfabetizador De Silvia Hurrell	Silvia Hurrell
MLU635859162	encargo	no	Aproximación A Un Modelo De Pastoreo Intensivo	Ing. Agr. HILL SECCO, Walter
MLU636004994	encargo	no	Ríe Chinito - Dolores Aguirre	Dolores Aguirre
MLU636004998	disponible	si	El Señor Tormenta - Pez Y Cubillas * Sm	Pez, Alberto
MLU636005008	encargo	no	Confesiones De Un Chef (bolsillo) Bourdain Anthony	Bourdain, Anthony
MLU636005014	encargo	no	Todos Al Trabajo - Richard Scarry	RICHARD SCARRY
MLU636005024	encargo	no	Libro Negro Del Comunismo,el - Courtois, Stephane- Werth,...	COURTOIS, STEPHANE- WERTH, NICOLAS- PANN
MLU636005026	disponible	si	Programa Lee Comprensivamente - Paidós	Paidós
MLU636005030	encargo	no	Ami Regresa - Enrique Barrios	Enrique Barrios
MLU636005042	disponible	si	De La Crisis A La Creatividad - Fabiana Eisemberg -biblos	FABIANA EISEMBERG
MLU636005046	disponible	si	Instrumentos De La Critica Narrativa - Gonzalez - Colihue	Maria Gonzalez
