prioridad,mlu,titulo,isbn,stock,publicaciones_mismo_isbn,categoria,enriquecida,ficha_ampliada,falta,motivo,google_books,open_library,bne,loc,dnb
5379,MLU951796626,"Libro Nuevo Testamento, De Equipo San Pablo, Tapa Blanda",9788428524186,3,2,religion-espiritualidad/biblia,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5380,MLU709390092,Libro Nonsense - Colección Poemas Y Relatos De Edward Lear,9788415862284,6,1,literatura-ficcion/cuento,si,si,temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5381,MLU1041420610,Historia Palestina C/detalles Análisis Político Oriente,9788446022558,1,1,historia,si,si,editorial · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5382,MLU1333190898,Tarot Para Manifestar Libro Oraculo Esoterismo,9788419510730,1,1,esoterismo-tarot/tarot-oraculos,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5383,MLU1428464266,Diccionario Apa De Psicología Inglés Tapa Dura,9781591473800,1,1,idiomas-aprendizaje,si,si,editorial · temas,falta_google_books,pendiente,encontrado,sin_datos,error,sin_datos
5384,MLU1446389410,Libros Aviones Segunda Guerra Mundial Aliados Guia Ilustrada,9788475838236,1,1,historia/historia-mundial,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5385,MLU1467439510,Obstetricia Y Ginecología Nieto Manual Médico,9788491138563,1,1,medicina-salud,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5386,MLU1471984296,Solano Geografía Del Deseo 42 Relatos Eróticos,9791387599218,1,1,literatura-ficcion/cuento,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5387,MLU1480208042,Civil War Marvel Deluxe - Millar Mcniven Tapa Dura,9788498855142,1,1,infantil-juvenil/literatura-infantil,si,si,editorial · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5388,MLU1494547914,Sobre Hombros De Gigantes Psicoterapia Parenti,9788412308181,1,1,psicologia/psicoterapia,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5389,MLU1494548292,Suspenso Romántico Nora Roberts Siete Anillos,9791387512408,1,1,literatura-ficcion/novela,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5390,MLU1494548556,Educación Infantil Crianza Consciente Estremera,9788434440623,1,1,familia-crianza/crianza,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5391,MLU610430570,Oráculo Baraja Arcanos Menores Del Tarot - Cápsula Dorada,9789506444815,1,1,literatura-ficcion,no,si,páginas · temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5392,MLU613629795,Cats Inspirational Oracle Cards Cartas - Barbara Moore,9780738738802,1,1,esoterismo-tarot/tarot-oraculos,no,si,páginas · temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5393,MLU618133965,"Libro - Teorias De La Literatura - Eribon, Didier",9789874595560,1,1,literatura-ficcion,no,si,páginas · temas,falta_google_books,pendiente,encontrado,sin_datos,sin_datos,sin_datos
5394,MLU623519907,Test Bender Completo Manual + Tarjetas + Laminas Guestaltico,9789501213058,1,1,psicologia/psicologia-clinica,no,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5395,MLU624710055,Nueva Educacion Retos Desafio Maestro Bona,9789506444174,1,1,educacion/pedagogia,no,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5396,MLU625087078,Jamón Iberico Y Serrano - Ventanas Libro,9788484764748,1,1,cocina-gastronomia,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5397,MLU626790359,We Are Heroes 3 - Pupil´s Book - Macmillan,9789876724791,1,1,idiomas-aprendizaje/ingles,no,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5398,MLU628770086,"Libro La Nueva Terapia Sexual 2 - Kaplan, Helen Singer, En Español",9788420687452,1,1,medicina-salud,si,si,páginas · temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
